Business License,Business Name,Address,City,State,Zip Code,Location,Last Inspection Date
09FOOD-0154,7-Eleven #27070B,847 DODGE AVE,Evanston,IL,60202,"847 DODGE AVE
Evanston, IL 60202
(42.033087, -87.699327)",02/01/2017
09FOOD-0300,Lincolnwood Elementary School,2600 COLFAX ST,Evanston,IL,60201,"2600 COLFAX ST
Evanston, IL 60201
(42.060781, -87.70942)",02/01/2017
16FOOD-0010,Flat Top Grill,707 CHURCH ST,Evanston,IL,60201,"707 CHURCH ST
Evanston, IL 60201
(42.048403, -87.681341)",02/02/2017
09FOOD-0298,Kingsley Elementary School,2300 GREEN BAY RD,Evanston,IL,60201,"2300 GREEN BAY RD
Evanston, IL 60201
(42.059714, -87.695031)",02/02/2017
09FOOD-0289,Haven Middle School,2417 PRAIRIE AVE,Evanston,IL,60201,"2417 PRAIRIE AVE
Evanston, IL 60201
(42.061645, -87.698662)",02/02/2017
16FOOD-0024,Evanston Ice Company,1701 MAIN ST,Evanston,IL,60202,"1701 MAIN ST
Evanston, IL 60202
(42.033939, -87.696698)",02/03/2017
09FOOD-0302,Orrington Elementary School,2636 ORRINGTON AVE,Evanston,IL,60201,"2636 ORRINGTON AVE
Evanston, IL 60201
(42.065424, -87.679501)",02/03/2017
09FOOD-0322,Century Evanston 12 & Cine Arts 6,1715 MAPLE AVE,Evanston,IL,60201,"1715 MAPLE AVE
Evanston, IL 60201
(42.049726, -87.684733)",02/06/2017
14FOOD-0029,Beth's Little Bake Shop,1814 CENTRAL ST,Evanston,IL,60201,"1814 CENTRAL ST
Evanston, IL 60201
(42.064309, -87.698485)",02/07/2017
15FOOD-0040,Quad Indoor Sports,2454 OAKTON ST,Evanston,IL,60202,"2454 OAKTON ST
Evanston, IL 60202
(42.026416, -87.710349)",02/07/2017
09FOOD-0405,Lake Street Church of Evanston,607 LAKE ST,Evanston,IL,60201,"607 LAKE ST
Evanston, IL 60201
(42.044086, -87.6806)",02/08/2017
09FOOD-0170,Siam Splendour,1125 EMERSON ST,Evanston,IL,60201,"1125 EMERSON ST
Evanston, IL 60201
(42.052152, -87.687275)",02/08/2017
09FOOD-0363,Dream About Tea,1011 DAVIS ST,Evanston,IL,60201,"1011 DAVIS ST
Evanston, IL 60201
(42.047054, -87.685166)",02/07/2017
13FOOD-0013,Norris Center Bookstore #668,1999 CAMPUS DR,Evanston,IL,60208,"1999 CAMPUS DR
Evanston, IL 60208
(42.053678, -87.6734)",02/09/2017
09FOOD-0274,Norris University Center,1999 CAMPUS DR,Evanston,IL,60208,"1999 CAMPUS DR
Evanston, IL 60208
(42.053678, -87.6734)",02/09/2017
08FOOD-0180,Dunkin' Donuts,1612 BENSON AVE,Evanston,IL,60201,"1612 BENSON AVE
Evanston, IL 60201
(42.047211, -87.683425)",02/13/2017
09FOOD-0029,Little Wok,2426 MAIN ST,Evanston,IL,60202,"2426 MAIN ST
Evanston, IL 60202
(42.03369, -87.706713)",02/13/2017
09FOOD-0166,Sarpino's Pizza,2428 MAIN ST,Evanston,IL,60202,"2428 MAIN ST
Evanston, IL 60202
(42.033664, -87.707555)",02/13/2017
15FOOD-0002,Curts Cafe South,1813 DEMPSTER ST,Evanston,IL,60201,"1813 DEMPSTER ST
Evanston, IL 60201
(42.04114, -87.698164)",02/17/2017
09FOOD-0089,Brothers K Coffee House,500 MAIN ST,Evanston,IL,60202,"500 MAIN ST
Evanston, IL 60202
(42.033933, -87.677732)",02/17/2017
10FOOD-0020,Other Brother Coffeehouse,1549 SHERMAN AVE,Evanston,IL,60201,"1549 SHERMAN AVE
Evanston, IL 60201
(42.045657, -87.681893)",02/17/2017
15FOOD-0052,Dollar Tree,1928 DEMPSTER ST,Evanston,IL,60202,"1928 DEMPSTER ST
Evanston, IL 60202
(42.041109, -87.700019)",02/20/2017
10FOOD-0017,Garrett Cafe,2121 SHERIDAN RD,Evanston,IL,60208,"2121 SHERIDAN RD
Evanston, IL 60208
(42.059157, -87.677139)",02/20/2017
16FOOD-0030,Papa Philly,1608 EMERSON ST,Evanston,IL,60201,"1608 EMERSON ST
Evanston, IL 60201
(42.052148, -87.694941)",02/21/2017
09FOOD-0287,Chute Middle School,1400 OAKTON ST,Evanston,IL,60202,"1400 OAKTON ST
Evanston, IL 60202
(42.026739, -87.691689)",02/21/2017
12FOOD-0027,Unity Nursery School,827 FOSTER ST,Evanston,IL,60201,"827 FOSTER ST
Evanston, IL 60201
(42.053894, -87.682279)",02/21/2017
09FOOD-0232,Trattoria D.O.C.,706 MAIN ST,Evanston,IL,60202,"706 MAIN ST
Evanston, IL 60202
(42.033965, -87.680798)",02/23/2017
09FOOD-0324,Cost Plus World Market,1725 MAPLE AVE,Evanston,IL,60201,"1725 MAPLE AVE
Evanston, IL 60201
(42.049576, -87.684733)",01/17/2017
09FOOD-0076,Clarke's,720 CLARK ST,Evanston,IL,60201,"720 CLARK ST
Evanston, IL 60201
(42.049906, -87.681082)",02/24/2017
09FOOD-0101,Holiday Inn University Plaza,1501 SHERMAN AVE,Evanston,IL,60201,"1501 SHERMAN AVE
Evanston, IL 60201
(42.044633, -87.681923)",02/24/2017
09FOOD-0231,Siam Paragon,503 MAIN ST,Evanston,IL,60202,"503 MAIN ST
Evanston, IL 60202
(42.033935, -87.678145)",02/27/2017
14FOOD-0050,D & D Dogs Inc,825 NOYES ST,Evanston,IL,60201,"825 NOYES ST
Evanston, IL 60201
(42.058446, -87.683107)",02/27/2017
09FOOD-0073,The Olive Mountain,610 DAVIS ST,Evanston,IL,60201,"610 DAVIS ST
Evanston, IL 60201
(42.046374, -87.68037)",02/27/2017
09FOOD-0168,Zeta Tau Alpha,710 EMERSON ST,Evanston,IL,60201,"710 EMERSON ST
Evanston, IL 60201
(42.052055, -87.680005)",02/28/2017
09FOOD-0354,Midwest Montessori #560,926 NOYES ST,Evanston,IL,60201,"926 NOYES ST
Evanston, IL 60201
(42.058448, -87.684088)",03/01/2017
09FOOD-0213,Teen Baby Nursery,2010 DEWEY AVE,Evanston,IL,60201,"2010 DEWEY AVE
Evanston, IL 60201
(42.054709, -87.695796)",03/01/2017
09FOOD-0386,Baby Toddler Nursery,2200 MAIN ST,Evanston,IL,60202,"2200 MAIN ST
Evanston, IL 60202
(42.033785, -87.704649)",03/02/2017
09FOOD-0137,Creative Play,1701 MAIN ST,Evanston,IL,60202,"1701 MAIN ST
Evanston, IL 60202
(42.033939, -87.696698)",03/02/2017
09FOOD-0051,Vinic Wine Company,1509 CHICAGO AVE,Evanston,IL,60201,"1509 CHICAGO AVE
Evanston, IL 60201
(42.04534, -87.680116)",03/02/2017
09FOOD-0408,Northminster Nursery School,2515 CENTRAL PARK AVE,Evanston,IL,60201,"2515 CENTRAL PARK AVE
Evanston, IL 60201
(42.063051, -87.717791)",03/03/2017
09FOOD-0133,Warren W. Cherry Preschool,1418 LAKE ST,Evanston,IL,60201,"1418 LAKE ST
Evanston, IL 60201
(42.044251, -87.692798)",03/03/2017
09FOOD-0271,Elder Hall,2400 SHERIDAN RD,Evanston,IL,60201,"2400 SHERIDAN RD
Evanston, IL 60201
(42.061193, -87.677093)",03/06/2017
12FOOD-0010,Bright Horizons at Evanston,1629 ORRINGTON AVE,Evanston,IL,60201,"1629 ORRINGTON AVE
Evanston, IL 60201
(42.047843, -87.681025)",03/06/2017
09FOOD-0272,Foster Walker Undergrad Complex,1927 ORRINGTON AVE,Evanston,IL,60201,"1927 ORRINGTON AVE
Evanston, IL 60201
(42.053221, -87.679765)",03/06/2017
09FOOD-0242,Treasure Ocean,2400 SHERIDAN RD,Evanston,IL,60208,"2400 SHERIDAN RD
Evanston, IL 60208
(42.061193, -87.677093)",03/06/2017
09FOOD-0269,1835 Hinman,1835 HINMAN AVE,Evanston,IL,60201,"1835 HINMAN AVE
Evanston, IL 60201
(42.049869, -87.675998)",03/07/2017
09FOOD-0056,McDonald's #6867,1919 DEMPSTER ST,Evanston,IL,60201,"1919 DEMPSTER ST
Evanston, IL 60201
(42.041109, -87.700107)",03/07/2017
12FOOD-0023,World of Beer,1601 SHERMAN AVE,Evanston,IL,60201,"1601 SHERMAN AVE
Evanston, IL 60201
(42.047301, -87.681837)",03/07/2017
17FOOD-0005,Evanston Games and Cafe,1610 MAPLE AVE,Evanston,IL,60201,"1610 MAPLE AVE
Evanston, IL 60201
(42.047432, -87.684982)",03/08/2017
09FOOD-0293,Chiaravalle Montessori School,425 DEMPSTER ST,Evanston,IL,60201,"425 DEMPSTER ST
Evanston, IL 60201
(42.041164, -87.67823)",03/09/2017
09FOOD-0115,Family Focus,2010 DEWEY AVE,Evanston,IL,60201,"2010 DEWEY AVE
Evanston, IL 60201
(42.054709, -87.695796)",03/10/2017
09FOOD-0280,Kresge Hall Cafe,1880 CAMPUS DR,Evanston,IL,60208,"1880 CAMPUS DR
Evanston, IL 60208
(42.051293, -87.673536)",03/10/2017
09FOOD-0390,Childtime at Saint Francis Hospital,355 RIDGE AVE,Evanston,IL,60202,"355 RIDGE AVE
Evanston, IL 60202
(42.023956, -87.685159)",03/10/2017
09FOOD-0130,Soup At Six,933 CHICAGO AVE,Evanston,IL,60202,"933 CHICAGO AVE
Evanston, IL 60202
(42.034859, -87.679563)",03/13/2017
09FOOD-0037,Edzo's Burger Shop,1571 SHERMAN AVE,Evanston,IL,60201,"1571 SHERMAN AVE
Evanston, IL 60201
(42.045996, -87.681876)",03/14/2017
09FOOD-0266,Kappa Delta,711 UNIVERSITY PL,Evanston,IL,60201,"711 UNIVERSITY PL
Evanston, IL 60201
(42.051245, -87.680007)",03/14/2017
09FOOD-0084,Hecky's Bar B Q,1902 GREEN BAY RD,Evanston,IL,60201,"1902 GREEN BAY RD
Evanston, IL 60201
(42.052472, -87.689129)",03/14/2017
09FOOD-0189,Shore Homes East,503 MICHIGAN AVE,Evanston,IL,60202,"503 MICHIGAN AVE
Evanston, IL 60202
(42.026758, -87.672102)",03/14/2017
09FOOD-0258,Alpha Chi Omega,637 UNIVERSITY PL,Evanston,IL,60201,"637 UNIVERSITY PL
Evanston, IL 60201
(42.051216, -87.678391)",03/14/2017
09FOOD-0186,Greenwood Care,1406 CHICAGO AVE,Evanston,IL,60201,"1406 CHICAGO AVE
Evanston, IL 60201
(42.042897, -87.680577)",03/15/2017
09FOOD-0041,IHOP #1203,100 ASBURY AVE,Evanston,IL,60202,"100 ASBURY AVE
Evanston, IL 60202
(42.019648, -87.690191)",03/15/2017
09FOOD-0042,Bill's Drive-In,120 ASBURY AVE,Evanston,IL,60202,"120 ASBURY AVE
Evanston, IL 60202
(42.020035, -87.69019)",03/15/2017
09FOOD-0093,Las Palmas of Evanston,817 UNIVERSITY PL,Evanston,IL,60201,"817 UNIVERSITY PL
Evanston, IL 60201
(42.051268, -87.682665)",03/15/2017
11FOOD-0026,ROYCEMORE SCHOOL - CAFETERIA,1200 DAVIS ST,Evanston,IL,60201,"1200 DAVIS ST
Evanston, IL 60201
(42.047112, -87.68951)",03/15/2017
09FOOD-0340,Siam Pasta,809 DEMPSTER ST,Evanston,IL,60201,"809 DEMPSTER ST
Evanston, IL 60201
(42.041208, -87.682492)",03/16/2017
09FOOD-0078,Little Island,2600 CRAWFORD AVE,Evanston,IL,60201,"2600 CRAWFORD AVE
Evanston, IL 60201
(42.064759, -87.727447)",03/16/2017
15FOOD-0049,The Barn,1016 CHURCH ST Rear,Evanston,IL,60201,"1016 CHURCH ST Rear
Evanston, IL 60201
(42.048484, -87.686166)",03/16/2017
09FOOD-0325,Cozy Noodles & Rice,1018 DAVIS ST,Evanston,IL,60201,"1018 DAVIS ST
Evanston, IL 60201
(42.047066, -87.686008)",03/16/2017
09FOOD-0083,Sher-Main Grill,802 MAIN ST,Evanston,IL,60202,"802 MAIN ST
Evanston, IL 60202
(42.033971, -87.682467)",03/17/2017
09FOOD-0191,King Home,1555 OAK AVE,Evanston,IL,60201,"1555 OAK AVE
Evanston, IL 60201
(42.045773, -87.686896)",03/20/2017
09FOOD-0173,Union Pizzeria,1245 CHICAGO AVE,Evanston,IL,60202,"1245 CHICAGO AVE
Evanston, IL 60202
(42.040767, -87.680589)",03/20/2017
15FOOD-0051,La Cocinita Restaurant,1625 CHICAGO AVE,Evanston,IL,60201,"1625 CHICAGO AVE
Evanston, IL 60201
(42.046927, -87.679334)",03/21/2017
15FOOD-0029,Whiskey Thief,616 DAVIS ST,Evanston,IL,60201,"616 DAVIS ST
Evanston, IL 60201
(42.046439, -87.680609)",03/21/2017
09FOOD-0131,Total Child Preschool & Childcare Center,516 CHURCH ST,Evanston,IL,60201,"516 CHURCH ST
Evanston, IL 60201
(42.047425, -87.677756)",03/21/2017
09FOOD-0070,Golden Olympic Restaurant,1608 CHICAGO AVE,Evanston,IL,60201,"1608 CHICAGO AVE
Evanston, IL 60201
(42.046509, -87.679529)",03/21/2017
09FOOD-0410,School For Little Children,1427 CHICAGO AVE,Evanston,IL,60201,"1427 CHICAGO AVE
Evanston, IL 60201
(42.043427, -87.680572)",03/21/2017
09FOOD-0246,Chipotle Mexican Grill #87,711 CHURCH ST,Evanston,IL,60201,"711 CHURCH ST
Evanston, IL 60201
(42.048394, -87.681307)",03/22/2017
09FOOD-0335,Tapas Barcelona,1615 CHICAGO AVE,Evanston,IL,60201,"1615 CHICAGO AVE
Evanston, IL 60201
(42.046887, -87.679352)",03/23/2017
14FOOD-0040,Lulu's - Taco Diablo - Five & Dime,1026 DAVIS ST,Evanston,IL,60201,"1026 DAVIS ST
Evanston, IL 60201
(42.047068, -87.686144)",03/23/2017
17FOOD-0004,Hilton Garden Inn,1818 MAPLE AVE,Evanston,IL,60201,"1818 MAPLE AVE
Evanston, IL 60201
(42.050681, -87.684824)",03/15/2017
15FOOD-0044,Harold's Chicken Shack,337 HOWARD ST,Evanston,IL,60202,"337 HOWARD ST
Evanston, IL 60202
(42.019399, -87.675244)",03/27/2017
09FOOD-0100,Tommy Nevin's Pub,1450 SHERMAN AVE,Evanston,IL,60201,"1450 SHERMAN AVE
Evanston, IL 60201
(42.044389, -87.681928)",03/27/2017
09FOOD-0384,Immanuel Lutheran Church,616 LAKE ST,Evanston,IL,60201,"616 LAKE ST
Evanston, IL 60201
(42.044089, -87.680783)",03/25/2017
09FOOD-0387,Beth Emet The Free Synagogue,1224 DEMPSTER ST,Evanston,IL,60202,"1224 DEMPSTER ST
Evanston, IL 60202
(42.041283, -87.689775)",03/28/2017
13FOOD-0034,Peckish Pig Restaurant & Brewery,623 HOWARD ST,Evanston,IL,60202,"623 HOWARD ST
Evanston, IL 60202
(42.019467, -87.679363)",03/28/2017
09FOOD-0333,Trattoria Demi,1571 SHERMAN AVE,Evanston,IL,60201,"1571 SHERMAN AVE
Evanston, IL 60201
(42.045996, -87.681876)",03/27/2017
13FOOD-0035,Smylie Brothers Brewing Company,1615 OAK AVE,Evanston,IL,60201,"1615 OAK AVE
Evanston, IL 60201
(42.047551, -87.686833)",03/28/2017
09FOOD-0149,Jewish Reconstructionist Congregation,303 DODGE AVE,Evanston,IL,60202,"303 DODGE AVE
Evanston, IL 60202
(42.023033, -87.699526)",03/27/2017
09FOOD-0134,Parent Day Out,1420 MAPLE AVE,Evanston,IL,60201,"1420 MAPLE AVE
Evanston, IL 60201
(42.043567, -87.68504)",03/28/2017
09FOOD-0251,Dozika,601 DEMPSTER ST,Evanston,IL,60201,"601 DEMPSTER ST
Evanston, IL 60201
(42.041215, -87.680946)",03/29/2017
09FOOD-0060,Prairie Joe's,1921 CENTRAL ST,Evanston,IL,60201,"1921 CENTRAL ST
Evanston, IL 60201
(42.06432, -87.699664)",03/29/2017
09FOOD-0192,Three Crowns Park,2323 MCDANIEL AVE,Evanston,IL,60201,"2323 MCDANIEL AVE
Evanston, IL 60201
(42.059707, -87.708114)",03/31/2017
09FOOD-0385,Alden Estates of Evanston,2520 GROSS POINT RD,Evanston,IL,60201,"2520 GROSS POINT RD
Evanston, IL 60201
(42.063097, -87.729846)",03/31/2017
09FOOD-0268,Pi Beta Phi,636 EMERSON ST,Evanston,IL,60201,"636 EMERSON ST
Evanston, IL 60201
(42.05208, -87.678209)",04/03/2017
09FOOD-0392,Daniel F. and Ada L. Rice Child + Family Center,1101 WASHINGTON ST,Evanston,IL,60202,"1101 WASHINGTON ST
Evanston, IL 60202
(42.032836, -87.687121)",04/03/2017
09FOOD-0163,Al's Deli,914 NOYES ST,Evanston,IL,60201,"914 NOYES ST
Evanston, IL 60201
(42.058448, -87.68401)",04/03/2017
12FOOD-0055,The Merion,1611 CHICAGO AVE 1,Evanston,IL,60201,"1611 CHICAGO AVE 1
Evanston, IL 60201
(42.046882, -87.679355)",04/04/2017
09FOOD-0351,Panera Bread #645,1700 SHERMAN AVE,Evanston,IL,60201,"1700 SHERMAN AVE
Evanston, IL 60201
(42.048455, -87.681808)",04/04/2017
12FOOD-0024,Found Restaurant,1631 CHICAGO AVE,Evanston,IL,60201,"1631 CHICAGO AVE
Evanston, IL 60201
(42.047446, -87.679092)",04/04/2017
09FOOD-0407,McGaw YMCA Child Care Center,1420 MAPLE AVE,Evanston,IL,60201,"1420 MAPLE AVE
Evanston, IL 60201
(42.043567, -87.68504)",03/28/2017
13FOOD-0048,Jilly's Cafe,2614 GREEN BAY RD,Evanston,IL,60201,"2614 GREEN BAY RD
Evanston, IL 60201
(42.064774, -87.699192)",04/05/2017
16FOOD-0018,Meez Meals,1459 ELMWOOD AVE,Evanston,IL,60201,"1459 ELMWOOD AVE
Evanston, IL 60201
(42.044723, -87.683538)",04/05/2017
10FOOD-0009,Kingston Grill,1164 DODGE AVE,Evanston,IL,60202,"1164 DODGE AVE
Evanston, IL 60202
(42.040404, -87.699236)",04/06/2017
09FOOD-0303,Park School,828 MAIN ST,Evanston,IL,60202,"828 MAIN ST
Evanston, IL 60202
(42.033969, -87.683146)",04/06/2017
09FOOD-0388,Campus Kitchen Project at NU,1820 CHICAGO AVE,Evanston,IL,60201,"1820 CHICAGO AVE
Evanston, IL 60201
(42.05029, -87.677687)",04/10/2017
09FOOD-0409,Reba Early Learning Center,740 CUSTER AVE,Evanston,IL,60202,"740 CUSTER AVE
Evanston, IL 60202
(42.031884, -87.680333)",04/06/2017
14FOOD-0005,Eurest Dining Services,1560 SHERMAN AVE,Evanston,IL,60201,"1560 SHERMAN AVE
Evanston, IL 60201
(42.045718, -87.681889)",04/10/2017
09FOOD-0338,The Stained Glass,1735 BENSON AVE,Evanston,IL,60201,"1735 BENSON AVE
Evanston, IL 60201
(42.049975, -87.683356)",04/10/2017
09FOOD-0270,Allison Hall,1820 CHICAGO AVE,Evanston,IL,60201,"1820 CHICAGO AVE
Evanston, IL 60201
(42.05029, -87.677687)",04/10/2017
09FOOD-0187,Aperion Care Evanston,1300 OAK AVE,Evanston,IL,60201,"1300 OAK AVE
Evanston, IL 60201
(42.041462, -87.686957)",04/11/2017
14FOOD-0048,Amazing Kale Burger,741 HOWARD ST,Evanston,IL,60202,"741 HOWARD ST
Evanston, IL 60202
(42.019487, -87.681951)",04/11/2017
16FOOD-0028,Real Good Juice Company,2748 GREEN BAY RD,Evanston,IL,60201,"2748 GREEN BAY RD
Evanston, IL 60201
(42.068443, -87.702217)",04/11/2017
15FOOD-0003,Whole Foods Market,2748 GREEN BAY RD,Evanston,IL,60201,"2748 GREEN BAY RD
Evanston, IL 60201
(42.068443, -87.702217)",04/11/2017
15FOOD-0034,Kikka,2748 GREEN BAY RD,Evanston,IL,60201,"2748 GREEN BAY RD
Evanston, IL 60201
(42.068443, -87.702217)",04/11/2017
09FOOD-0216,Kansaku,1514 SHERMAN AVE,Evanston,IL,60201,"1514 SHERMAN AVE
Evanston, IL 60201
(42.045295, -87.681908)",04/11/2017
09FOOD-0367,Firehouse Grill,750 CHICAGO AVE,Evanston,IL,60202,"750 CHICAGO AVE
Evanston, IL 60202
(42.032056, -87.679023)",04/12/2017
09FOOD-0014,CJE Senior Life,1015 HOWARD ST,Evanston,IL,60202,"1015 HOWARD ST
Evanston, IL 60202
(42.01954, -87.68665)",04/12/2017
16FOOD-0003,Hilton Orrington,1710 ORRINGTON AVE,Evanston,IL,60201,"1710 ORRINGTON AVE
Evanston, IL 60201
(42.048744, -87.680574)",04/12/2017
15FOOD-0007,Symphony of Evanston Healthcare,820 FOSTER ST,Evanston,IL,60201,"820 FOSTER ST
Evanston, IL 60201
(42.053901, -87.682813)",04/12/2017
14FOOD-0012,Bangers and Lace,810 GROVE ST,Evanston,IL,60201,"810 GROVE ST
Evanston, IL 60201
(42.045539, -87.682252)",04/12/2017
12FOOD-0001,Creperie Saint Germain,1512 SHERMAN AVE,Evanston,IL,60201,"1512 SHERMAN AVE
Evanston, IL 60201
(42.045234, -87.681909)",04/13/2017
