0.000000000000000000e+00 1.261147133371734563e+00
5.263157894736841813e-02 9.991756981040296193e-01
1.052631578947368363e-01 1.050699050519085853e+00
1.578947368421052544e-01 1.068362230307520644e+00
2.105263157894736725e-01 1.002812693289069301e+00
2.631578947368420907e-01 1.146964954218586019e+00
3.157894736842105088e-01 1.068705983862966002e+00
3.684210526315789269e-01 9.716109125552111481e-01
4.210526315789473450e-01 1.113971589530440287e+00
4.736842105263157632e-01 9.381066320605826458e-01
5.263157894736841813e-01 1.116964436093145441e+00
5.789473684210526550e-01 9.699269926884848125e-01
6.315789473684210176e-01 1.104806759282374706e+00
6.842105263157893802e-01 9.017759044856074047e-01
7.368421052631578538e-01 7.674725737483882870e-01
7.894736842105263275e-01 8.363660481439535443e-01
8.421052631578946901e-01 9.529928983564823763e-01
8.947368421052630527e-01 8.818939897069719702e-01
9.473684210526315264e-01 7.433450014837522657e-01
1.000000000000000000e+00 6.736851152428144918e-01
